DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,Magnitude,Magnitude Scale,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2017-0138-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Netrokona, Kishoreganj, Itna (Kishoreganj), Mithamoin (Kishoreganj), Austagram (Kishoreganj), Habiganj, Karimganj (Kishoreganj), Sunamganj, Moulvibazar, Sylhet",Heavy rains,,No,No,No,,Km2,"Dhaleshwari, Dhanu, Khowai, Kushiyara, Meghna",2017,3.0,28.0,2017,4.0,15.0,,,76725.0,9300.0,86025.0,128000.0,159113.0,80.4457792619455,"[{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5821,""adm2_name"":""Habiganj""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""}]",2017-05-18,2023-09-25
2017-0139-BGD,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshani, Chapainawabganj (Nawabganj), Dorgapara (Rajshahi)",,,No,No,No,,Kph,,2017,5.0,1.0,2017,5.0,1.0,12.0,,,,,,,80.4457792619455,"[{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2017-05-18,2023-09-25
2017-0152-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000058,Cyclone Mora,BGD,Bangladesh,Southern Asia,Asia,"Swandip, Anwara, Lohogara, Bashkhali, Sitakunda, Mirsarai, Chandanaish, Karnaphuli Thana (Chittagong district); Cohokoria, Teknaf, Moheshkhali, Kutubdia, Pekua, Ramu, Ukhiya, Shah Parir Dwip, Saint Martin’s island (Cox's Bazar district); Rangamati district (All upazillas); Nikonchori (Bandarban district); Bhola district. Khagrachhari, Feni, Noakhali districts",,,No,No,No,135.0,Kph,,2017,5.0,30.0,2017,5.0,30.0,7.0,12.0,3300000.0,,3300012.0,,,80.4457792619455,"[{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5767,""adm2_name"":""Bandarban""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5774,""adm2_name"":""Khagrachhari""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5777,""adm2_name"":""Rangamati""}]",2017-06-01,2023-09-25
2017-0174-BGD,No,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,GLIDE:LS-2017-000068,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong (Teknaf, Rangunia, Chandanaish), Rangamati, Bandarban, Cox's Bazar, Khagrachari",Monsoon,"Slide (land, mud, snow, rock)",No,No,No,,,,2017,6.0,12.0,2017,6.0,14.0,160.0,187.0,80000.0,,80187.0,,,80.4457792619455,"[{""adm2_code"":5767,""adm2_name"":""Bandarban""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5774,""adm2_name"":""Khagrachhari""},{""adm2_code"":5777,""adm2_name"":""Rangamati""}]",2017-06-14,2023-09-25
2017-0342-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2017-000084,,BGD,Bangladesh,Southern Asia,Asia,"Dinajpur, Kurigram, Lalmonirhat, Nilphamari, Chapainawabganj, Moulvibazar, Jessore, Sylhet, Gaibandha, Sunamganj, Mymensingh, Thakurgaon, Jamalpur, Joypurhat, Naogaon, Panchagarh, Bogra, Tangail, Rangamati, Comilla, Dhaka, Faridpur, Madaripur, Brahamanbaria, Munshiganj, Natore, Sirajganj, Rangpur, Sherpur, Netrakona, Chandpur, Rajshahi",Late monsoon rains,,No,No,No,,Km2,"Brahmaputra-Jamuna, Meghna, Surma, Bhersa, Dahuk, Dharla, Dudhkumar, Ilish, Karotao, Mahananda, Maine, Punurvaba, Teesta, Tetulia river",2017,8.0,10.0,2017,8.0,31.0,144.0,,8000000.0,,8000000.0,500000.0,621537.0,80.4457792619455,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5771,""adm2_name"":""Comilla""},{""adm2_code"":5777,""adm2_name"":""Rangamati""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5808,""adm2_name"":""Joypurhat""},{""adm2_code"":5811,""adm2_name"":""Naogaon""},{""adm2_code"":5812,""adm2_name"":""Natore""},{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5806,""adm2_name"":""Dinajpur""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""},{""adm2_code"":5818,""adm2_name"":""Rangpur""},{""adm2_code"":5820,""adm2_name"":""Thakurgaon""}]",2017-08-18,2023-09-25
2017-0556-BGD,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Diphteria,BGD,Bangladesh,Southern Asia,Asia,Cox’s Bazar,,,No,No,No,,,,2017,11.0,3.0,2017,12.0,12.0,15.0,789.0,,,789.0,,,80.4457792619455,,2018-03-05,2023-09-25
2018-0018-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,2.6,°C,,2018,1.0,1.0,2018,1.0,10.0,34.0,,,,,,,82.4106679610351,"[{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5796,""adm2_name"":""Chuadanga""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5808,""adm2_name"":""Joypurhat""},{""adm2_code"":5812,""adm2_name"":""Natore""},{""adm2_code"":5815,""adm2_name"":""Pabna""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5806,""adm2_name"":""Dinajpur""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""},{""adm2_code"":5818,""adm2_name"":""Rangpur""},{""adm2_code"":5820,""adm2_name"":""Thakurgaon""}]",2018-01-18,2023-09-25
2018-0140-BGD,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,Kph,,2018,4.0,29.0,2018,4.0,30.0,33.0,,,,,,,82.4106679610351,,2018-05-11,2023-09-25
2018-0158-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4617,,BGD,Bangladesh,Southern Asia,Asia,,Torrential Rain,,No,No,No,3882.39,Km2,,2018,5.0,20.0,2018,5.0,22.0,21.0,,14000.0,,14000.0,,,82.4106679610351,,2018-05-23,2023-09-25
2018-0203-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Cox’s Bazar,Rangamati",,"Slide (land, mud, snow, rock)",No,No,No,,Km2,,2018,6.0,5.0,2018,6.0,14.0,14.0,,,,,,,82.4106679610351,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5777,""adm2_name"":""Rangamati""}]",2018-07-19,2023-09-25
2019-0144-BGD,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,BGD,Bangladesh,Southern Asia,Asia,Dhaka,,,No,No,No,,Kph,,2019,3.0,31.0,2019,3.0,31.0,15.0,,,,,,,83.9041700601057,"[{""adm1_code"":577,""adm1_name"":""Dhaka""}]",2019-04-11,2023-09-25
2019-0164-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:ST-2019-000134,Cyclone 'Fani',BGD,Bangladesh,Southern Asia,Asia,"Barguna, Kishoreganj,Noakhali, Laxmipur, Feni, Chandpur, Bhola, Patuakhali, Barishal, Pirozpur, Jhalokathi, Bagherhat, Khulna, Satkhira districts",,,No,No,No,200.0,Kph,,2019,5.0,4.0,2019,5.0,4.0,39.0,45.0,,10000.0,10045.0,,,83.9041700601057,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5764,""adm2_name"":""Jhalokati""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5775,""adm2_name"":""Lakshmipur""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5795,""adm2_name"":""Bagerhat""},{""adm2_code"":5799,""adm2_name"":""Khulna""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2019-05-06,2023-09-25
2019-0304-BGD,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,BGD,Bangladesh,Southern Asia,Asia,Cox’s Bazar (Chittagong Division),Mosoon rains,,No,No,No,,,,2019,7.0,2.0,2019,7.0,8.0,2.0,16.0,18000.0,,18016.0,,,83.9041700601057,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2019-07-09,2023-09-25
2019-0337-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000079,,BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Gaibandha, Lalmonirhat, Chattogram, Bandarban, Rangamati, Sylhet, Sunamganj, Bogura, Nilphamari, Khagrachari, Cox’s Bazar, Feni, Netrokona, Sirajganj, Jamalpur, Tangail, Moulavibazar, Habiganj, Sherpur, Brahmanbaria, Chandpur, Faridpur, Madaripur, Manikganj, Munshiganj, Rajbari, Shariatpur districts",Monsoon rains,"Lightening|Slide (land, mud, snow, rock)",Yes,No,No,,Km2,"Brahmapoutre, Jamuna and Tista rivers",2019,6.0,,2019,7.0,28.0,114.0,,7600000.0,,7600000.0,75000.0,89388.0,83.9041700601057,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5774,""adm2_name"":""Khagrachhari""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5821,""adm2_name"":""Habiganj""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2019-07-15,2023-09-25
2019-0550-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2019-000147,Tropical cyclone 'Bulbul',BGD,Bangladesh,Southern Asia,Asia,"Satkhira, Khulna, Bhola, Bagerhat,Patuakhlai, Barguna, Pirojpur districts",,,No,No,No,130.0,Kph,,2019,11.0,9.0,2019,11.0,10.0,40.0,71.0,251435.0,,251506.0,5785.0,6895.0,83.9041700601057,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5795,""adm2_name"":""Bagerhat""},{""adm2_code"":5799,""adm2_name"":""Khulna""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2019-11-19,2023-09-25
2019-0655-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Chuadanga, Dinajpur, Panchagarh, Rajshahi, Pabna, Naogaon, Nilphamari, Jessore, Kurigramare districts",,,No,No,No,7.9,°C,,2019,11.0,,2019,12.0,,50.0,4500.0,,,4500.0,,,83.9041700601057,"[{""adm2_code"":5796,""adm2_name"":""Chuadanga""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5811,""adm2_name"":""Naogaon""},{""adm2_code"":5815,""adm2_name"":""Pabna""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5806,""adm2_name"":""Dinajpur""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""}]",2020-01-22,2023-09-25
2020-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000137,Cyclone 'Amphan',BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar; Satkhira, Jashore, Khulna, Barguna, Bagerhat, Patuakhali, Bhola, Pirojpur districts",,,No,No,No,,Kph,,2020,5.0,20.0,2020,5.0,20.0,26.0,,2600000.0,,2600000.0,1500000.0,1765969.0,84.9391981293886,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5795,""adm2_name"":""Bagerhat""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5799,""adm2_name"":""Khulna""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2020-05-27,2024-04-18
2020-0323-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000166,,BGD,Bangladesh,Southern Asia,Asia,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,"Slide (land, mud, snow, rock)",No,No,No,,Km2,,2020,6.0,15.0,2020,9.0,30.0,257.0,,5448271.0,,5448271.0,500000.0,588656.0,84.9391981293886,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2020-08-10,2023-09-25
